graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5
Power Law Tree,cauchy,6,0.5420558042321402,-0.7574159141296284,0.3958975559597549,-0.2485888958653114,-0.2675373907950924,0.2370156322713376,-1.2727271245732599,-1.6415290945019216,1.5904954053467577,0.4570984820536307,1.1583952615520932,2.1921817481463415
Power Law Tree,exponential,6,-0.3982619729757015,-0.021179656332317387,-0.2643389500132447,-0.11968622697299625,0.4386874465728481,-0.10888373887308128,1.9246990543341678,-1.5375532987846232,-0.9626347552100665,-1.5582254308133252,1.9981272125060778,-0.8035007855314207
Power Law Tree,log-normal,6,0.3688701400588687,-1.0950023109308415,-0.37701027116787805,0.7069742593123007,0.6198000330415175,0.02571640731046687,1.7572238788256427,0.2008359360698805,2.036590386094309,1.5593810114322744,-1.3388050291525253,-2.103851342904006
Power Law Tree,normal,6,0.30448123397651644,-0.43872160165824176,0.9663264557751139,0.40770102531263663,0.9949757181561433,-0.11322025377445574,1.529047763578054,2.042272781867886,-1.0528361949441951,-1.2304072740603127,-0.8324879251265126,-0.7762057037830925
Power Law Tree,uniform,6,0.9403693093850611,-0.3975626133570425,-0.41440924064223733,0.09025144938288104,0.4109498634552956,-0.819972875139771,-1.603946096861688,-1.3749381799689353,-1.3765199441122262,0.8700765102460943,-3.3101882424059346,-0.013652568437932243
Power Law Tree,uniform_plus,6,0.9082800265092943,0.4491743068750019,-0.6868379277829397,-0.4898966166245124,0.23746910173993752,0.24260311406056534,1.2940753106626441,-1.279352745705038,0.5846339170268264,1.0761883156827665,-0.4176487473559234,2.09571378604535
Uniform Random,cauchy,6,-0.7295909665236164,0.5255684139479733,-0.22346531167821715,1.048882007067266,0.09567842245284837,0.0033549966029204903,0.8160966491255397,1.0125043744109634,0.23813702606735768,1.3182421152213188,0.5935589531571528,-0.008916323127586973
Uniform Random,exponential,6,-0.23049508265303542,0.31758413914824923,-0.11215531667982108,-0.3460793608470121,0.5973981107419777,-0.6654082756772131,-1.5418844566624084,-0.9205227534639185,-0.8540250352782961,0.38257640109871216,0.47651082800224165,0.4158498525394545
Uniform Random,log-normal,6,0.13808961390606117,-0.18053597425063198,-0.14861156521685087,0.5606604792054839,0.03290245211988062,-0.009823190893800196,0.013364738917222674,-0.9796113816286863,-2.539969896920232,1.38259939453599,-0.09336446761106965,-0.4953908615031357
Uniform Random,normal,6,-1.0299593547006998,-0.3424629773631543,0.5261961822687815,-0.02473046487218983,0.8385862341939061,0.13965071500017787,-0.868737900784611,-0.5749821826302272,0.4571405967659431,-0.5844082496430716,-0.4216620638746007,-0.525584769964372
Uniform Random,uniform,6,0.9993038384861681,-0.1682215280460214,0.17580111091233724,-0.5777928207557386,-0.6518982750529558,1.1119196660891264,-0.888666847867414,-1.805757694594345,0.38568703945265637,-0.21103332149848192,1.4022609161841824,-1.4702681394878463
Uniform Random,uniform_plus,6,-0.14479573833874085,0.8701779131325894,-0.34578037726354716,-1.2780379352053461,0.5961901486522564,-0.1224656340759757,-0.9042863945350366,0.49599813243155455,-0.3720306133511766,0.835930139979014,0.025976657248072826,-1.122141754106362
Watts-Strogatz small world,cauchy,6,-0.45533345090315586,-0.2799988229368546,0.20068567289805203,0.5479653964569975,-0.15273351157606968,0.5157217573081715,-1.112641045452244,-1.026656932577672,-0.4121852146447166,0.4144250326755666,0.2801565764488635,0.6616781959973775
Watts-Strogatz small world,exponential,6,-0.32647214658116436,0.37190612685294033,-0.404462149863381,0.05081246891533983,-0.2859501597302472,0.21999981249135947,-1.030072146128704,0.15691723664325918,-0.9774638174848947,-1.469507449662672,-1.0878750878781416,-0.6756639615605502
Watts-Strogatz small world,log-normal,6,0.09626111384504663,1.1755146928334352,0.5301454681330453,-0.06269645770539226,-0.3707136069987601,-0.1282073475640856,-1.0901838095063727,-0.39105104468859003,-0.7743495890489567,0.09553150835365226,1.070566381297752,-2.1186428792490606
Watts-Strogatz small world,normal,6,0.42804672652963366,0.09048675077778384,0.41823466624320416,0.8380112665533946,-0.2422736455097016,0.24512426275250818,0.9126802884161986,0.6261577119357397,-0.4066191551697206,0.4531496548651966,-0.36531184594948923,-2.0043588035112747
Watts-Strogatz small world,uniform,6,0.547866068419941,0.4890447054294667,0.22002531181021634,-0.10674422163444276,0.5459928551125888,-0.14502068043599767,-0.8057995146910608,1.1761202631079208,0.47003158138854007,-1.0854528989740289,0.5215068520258446,-0.2262415289130098
Watts-Strogatz small world,uniform_plus,6,-0.0663995032585826,-0.3753840701035751,-0.285100783335266,0.39801139825923887,-0.25871018686814756,0.11117947268084422,-0.03387902137088933,-0.8407361087947631,-0.4822766359539453,-0.6122185915601261,-0.3578895592620531,-0.5315417391157446
