graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6
Power Law Tree,log-normal,7,0.6040197990456369,0.47317539677430587,-1.1794442540899994,-0.14207236929296468,0.38948083173598824,0.1874306428805712,-0.22761210884175156,2.04229098493533,3.2240364245921223,-0.17480759060626694,-3.2313521718158444,-1.9339310050398502,-2.320591101554526,4.445430713482949
Power Law Tree,normal,7,0.6848548356053212,-0.4898488134951706,-0.4966748405286534,0.3387090342239848,0.2963660666500228,0.37351786093811085,0.10843654580087073,-0.47880856582723835,-2.5396254310037567,-0.400349894424068,-1.7799465540254273,0.4768116031059161,1.2127846851551571,-0.2610079655188274
Power Law Tree,uniform,7,-0.06315288732565982,0.4154213053535387,-0.258919703351317,0.19660240836991943,-0.25894859300509426,-0.17410137958075866,0.2232761873105688,1.4372691575966872,0.8762089698288293,-1.161007828780092,-0.6239446779325792,2.643746275202978,-1.6648037515626957,-1.2633094156702107
Power Law Tree,uniform_plus,7,0.5841070469947276,-0.5507348609983058,-0.3407113969521674,0.42629836951879824,-0.46825698417754924,-0.021528359828508398,0.31316412018245104,1.0959875146587341,1.3162606913563182,-0.7544106449089996,1.1025535725971725,0.7558106772564384,-0.7491783067824861,2.288050011551399
Uniform Random,cauchy,7,0.00658819223945642,-0.5770622959544456,0.5167378400268852,-0.24548136582300734,0.1335118398877581,-0.18903289225925624,-0.11980660631319445,-0.7631890327319495,0.39496722624875513,0.31811436223530154,0.7521891840933239,-0.5666752339759328,-1.7543796510663463,1.0291811278169556
Uniform Random,exponential,7,-0.13306353321498599,0.42084583672929626,-0.14055618218757754,0.3759579335515179,-0.04396184350180651,0.13825834935151424,0.020781659803437998,-0.1883165721981077,0.7346004268522616,-2.278229732393619,-0.7013130898980338,0.05494641993215077,-2.6912270974023804,2.273957392530861
Uniform Random,log-normal,7,0.2893464926000954,-0.4968573891375555,-0.8702693062618329,0.2584998643936984,0.6076357906254348,0.4488958357939516,-1.3851853356053814,-1.3157836211999334,0.7160207493886439,2.409335142777339,-1.0391716088986602,-1.4367387605734216,-0.08180102777454751,1.0156651859574133
Uniform Random,normal,7,0.4604636126813706,0.2164610322511274,-0.1084087650662769,-0.19627038207921832,-0.07609075806819435,0.1569664051574884,0.8703041809933975,-0.9739261104393053,0.9364858522603916,-0.4277581364232045,0.7674174331334662,0.8204245692600598,-0.28521816326358296,-0.17790952456735903
Uniform Random,uniform,7,-0.4292215786369349,0.24996864839605215,-0.3323614750167545,0.3600497008759855,-0.10401472714770021,-0.18573808519535623,-0.13402778528849463,0.9555819824529515,0.5611449367472836,-0.5602554244901825,-0.3359254697711529,0.03821058800299448,-0.06781579615775951,-0.11534294047480706
Uniform Random,uniform_plus,7,-0.5877825072271443,0.2909737980897451,0.03650337297762443,0.44477924836343485,0.11041029180171708,-0.29368428494265775,0.10264787924015689,-0.9640344217492449,-0.4514245495972563,0.6473854432308948,0.5303449900302086,-0.04797771607385125,-1.6119339846023792,-0.08058786900235523
Watts-Strogatz small world,cauchy,7,-0.24919812777303618,0.37542970303771767,-0.4752808849300864,-0.33682909300400843,0.2437074182825339,-1.124289044531362,-0.1030419781189788,0.8375416808575247,1.4361848213003143,-0.2774369865848919,-0.016950594032182326,0.009974475437179414,-0.31343403341782317,-0.5522370540162099
Watts-Strogatz small world,exponential,7,0.12701989723926072,0.05276029246888041,0.5918858968212508,-0.3903859769654692,0.025472621435203575,-0.00880303557300502,-0.1137383064279792,-1.1902509539302475,-2.9563684234466705,-0.09694737459003078,-0.30349908132749576,0.38562774589089677,-0.47444272220819117,-0.6900047322626944
