graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7
4-Regular Graph,uniform,8,0.67525223970081,-0.18820844596202385,-0.3236795663188481,0.0986900093679392,-0.38709297103779555,1.176003238856705,-0.17176835115000064,-1.1920370469495096,-0.8659744062650758,-1.1941450228132449,-0.8811407284994819,-1.6414259320090094,0.4162998392265883,-0.6300965128456566,0.234933994412888,0.32438060125001567
4-Regular Graph,uniform_plus,8,-0.7651117848654201,0.1331611879161149,0.4721687982186954,0.49685920461527827,-0.2609117040510191,0.2566076329365631,-0.45925455412526744,-0.10276781481771169,0.8237542328702692,-0.5666233264722887,0.5596971670000405,0.4354546141698644,-0.2275712158556546,-0.3096610791901326,-0.11443591350133415,-0.16428299909485594
Geometric,cauchy,8,-0.09028797409659035,0.40147423332199855,-0.11914842289099932,0.11678375099368173,-0.2902342347014735,0.3817164672970598,0.4570342505442089,-0.3590494856307387,0.4852152556445517,0.5067468582146273,1.243622560392135,0.3729781748670843,-0.9929267006803737,1.7571238773125373,-0.21580008003427475,0.2116974394028638
Geometric,exponential,8,0.4645806257445898,-0.1700437471452977,0.36415772999005636,-0.33534256593114664,0.29274322295385374,-0.8710728511641233,0.4057028255789856,0.09903434364283759,0.8360624433615398,1.7805832350761053,-0.6251160597390403,-2.2620706136519675,1.004663417478048,-0.3879647450373176,0.41791853131341944,0.3041332410713117
Geometric,log-normal,8,-0.12472406668941548,-0.40412736423049794,0.40350888754803654,0.4929599173310064,-0.10294292531007927,0.9279122756486233,0.204923095185932,-0.10589252885520958,1.067664058238154,-1.1218792503933743,0.7919895203315718,-0.3117335320329458,-0.8512871039584384,0.3988553115455062,-0.3004290854764633,-0.8886829203036245
Geometric,normal,8,-0.43190550727082444,-1.0087330830842145,0.6215016414124765,0.09859980958826978,-0.4529778428745346,0.5667063999196328,-0.7064501390622757,-0.5767705329316791,0.03606312349331603,0.856511968758593,1.2779234495761513,0.7208890065001468,-0.8074099997161922,-0.03734050159562141,-0.38648896587972215,0.17074056321597775
Geometric,uniform,8,-0.49605603103535484,0.47569091091006277,-0.5419517794764985,-0.42160876804843295,-0.15969767535344848,0.19940587088032488,-0.729929589708735,0.8032732124884289,0.7508930166684403,-0.7226887707488491,-0.38497022758579713,0.6369301832314418,0.44058185625851176,1.0288055762579191,-0.5094008012214228,-0.4038535656064689
Geometric,uniform_plus,8,0.06363092118567605,-1.164778236959787,0.08607386101065438,0.21185234084799479,-0.1353778648779786,0.29461444100220696,-1.1137507619951634,0.12395735799174501,-0.7954794767435923,-0.12959665483642102,0.004965774101750808,1.08983112960818,-0.022361982055929708,-0.7793454747882114,-1.3879713280506456,0.5155072551754665
Nearly Complete BiPartite,cauchy,8,0.7080328569445078,-0.9797314115943512,-0.4502640925400333,-0.5571204100773499,0.4356007444263872,0.1238040136208947,-0.5758108117536783,0.9651154699334397,0.9119701198301318,0.1012716687721208,-0.11722823829486642,-0.4453574183862634,-0.50629827606432,0.937985779333204,0.40532662150379456,-1.2516526590573207
Nearly Complete BiPartite,exponential,8,0.8897346830689925,-0.275026297135911,-0.1531393528809897,-0.7325829628824883,-0.2849907221584287,0.2529843771470274,0.18312949259296568,-0.8757853191738689,-1.278415038454342,0.12015860042645898,1.4619613781478646,-1.3047585259625154,-0.040569257161746364,0.889485332832338,-0.32775090935987444,0.9611279404486679
