graph_type,weight_type,depth,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4
Geometric,log-normal,5,-0.11803878859247219,0.4957165729138833,0.19195239884447024,0.16626168593335283,-0.2008829506818004,-1.0517821226251063,1.7052104448139112,1.3608240227166484,-0.8356918404877349,-0.18511184362043842
Geometric,normal,5,-0.43817559704617703,-1.0669121254206337,0.7464640308548807,-0.10906667428848049,-0.3280466493564983,0.010920759294808513,-0.3097741434743524,0.37542339617178166,0.29944608567324144,0.2593979766157838
Geometric,uniform,5,-0.12912204739868788,-0.2721426453890481,0.2560272611971401,-0.5046049605912581,-0.12905354581187972,-0.63098428902752,-0.32922146023473126,-0.8744277798862287,-0.003844097990258241,0.07932682310336972
Geometric,uniform_plus,5,-0.37222284792485405,0.35512294255379157,0.1361387478223011,0.037841346240298966,-0.11748751280511285,-0.8161150897120721,0.4867448726714847,-0.3809078186474034,0.5147936435024181,-0.36660530659569374
Nearly Complete BiPartite,cauchy,5,-0.14503228291001333,-0.33640749851121665,-0.26491804628706206,-0.39219547978310215,0.17887170131478586,1.162390957124391,-1.6576709019912297,-0.14515041720475277,-1.5562336263211265,0.24372902627357568
Nearly Complete BiPartite,exponential,5,0.40507727098294344,-0.9681145374918939,0.5970589770511756,-0.24219692538572396,-0.957883103900164,1.5539635129143419,-1.1542000104707708,0.5572950928650379,-0.17134998134620422,-0.1753792444931872
Nearly Complete BiPartite,log-normal,5,0.5395269222788548,-0.7571877630375496,1.095284245965927,0.15811313844788108,-0.032903050963596706,1.4212409854830108,-0.8395442992993406,-1.5973375222464725,0.31471396022760495,0.06148435009706386
Nearly Complete BiPartite,normal,5,0.9767780533085784,0.4248165936438172,-0.8110503604686559,-0.03566056955855508,1.228424785500343,0.8783560045860175,-0.0030545186543629033,0.6098310855192812,0.467618027693674,0.6065552823798481
Nearly Complete BiPartite,uniform,5,-0.280321393387508,0.4077372442151048,-0.019137693825169305,0.35814286654649213,-0.004988044326117588,-0.8403927485635415,0.20479224092341908,-0.6318633506162155,-0.4566316236789234,0.9906353546240616
Nearly Complete BiPartite,uniform_plus,5,0.8921516357438479,-0.4604220293209665,-0.27828902694080826,0.2704068862323874,0.9909704395779672,0.9900896026047972,1.1679702509381518,-0.8415495244838472,0.9642543215322634,-0.26729965340342443
Power Law Tree,cauchy,5,-0.4082113062053506,-0.08431041698634208,0.2778447955443535,-0.27118625117443057,-0.07485321782173611,1.6829725706943548,-2.173050967037301,0.659118395415829,-0.9370675302527589,-0.5446314291708056
Power Law Tree,exponential,5,-0.12803628721764151,-0.2629259861561262,-0.1507335254788175,1.371426231640966,0.17103204577570136,-2.096511724407474,2.0413722821541453,-1.3359306971911953,-0.7479175231305714,-0.5331485199224613
Power Law Tree,log-normal,5,-1.0565619998236802,0.12382921739334493,0.5891049105781327,-0.042023253618012804,-1.030919001742934,0.40041016947910846,-1.3035130644602828,1.5369075250020738,-0.42688917854835273,-0.35488999592477083
Power Law Tree,normal,5,-0.191012132470462,0.6698275592647742,0.369593936618548,0.23182198463767772,-0.1620519113991658,1.4530268897746907,-1.0767449765165729,0.28017328641285016,1.4343111945529379,-0.4204650644899987
Power Law Tree,uniform,5,-0.568218421037699,-0.7525108196110772,-0.113266129664964,-1.3184769461919026,-0.17981354977283312,-1.428461686928352,-2.960916494797604,0.5100284568922715,1.4763859198396185,0.38994045959629337
Power Law Tree,uniform_plus,5,-0.21926609478907172,-0.07945319619356692,-0.2093236015226318,0.2239631716551771,0.2792446455411414,1.6108186452657354,2.7349203545505567,-0.591865531027394,-1.2348222691834425,-1.0856397711267896
Uniform Random,cauchy,5,-0.3275875111968273,0.6839357728902431,-0.3474963669520131,-0.5211697149243482,0.20431850663544165,-0.88028450745619,-1.1081077731072229,-1.0674258373004075,-1.5903300429841418,0.2420716785081829
Uniform Random,exponential,5,0.5079979272125934,-0.014358555180341528,0.6863214524224581,-0.2382945170344245,-0.3555410231942451,1.5538988489327654,-1.1677249996793813,1.0528797074524276,-0.052912777702270195,0.8205660687203903
Uniform Random,log-normal,5,0.4707036657827861,-0.8198171461906334,-0.887055684600448,0.6622506142031737,-0.13404943224460228,-1.08223847886204,-0.18315473177471508,-1.2874277521915958,0.022109074352120006,-2.9165110161865364
Uniform Random,normal,5,0.3542272621456205,-0.42587197382264674,-1.0743479146587274,-0.03499189708876008,0.1234704429088993,-1.1259274970980298,0.641985846879995,-1.1407108301212885,-0.523556654725561,2.2696017204739825
Uniform Random,uniform,5,-0.10363429233920235,-1.095946881503664,-0.17143255136340702,0.8289501590050846,0.44245348730722306,0.9931566003255023,-1.7370570589423564,0.5797152790265577,0.7112873302985254,-0.38511661704095357
Uniform Random,uniform_plus,5,-0.08300382681961337,0.27722239391781156,-0.3513269653782188,0.3835862529813231,0.16801890925651797,1.05481598192667,0.12586719063450286,0.5385191295818812,2.386515409128202,2.6175495908879567
Watts-Strogatz small world,cauchy,5,-0.3773285771973459,0.24972340615360783,-0.3191635911262,1.0200794011615244,0.5319196779848777,-0.7575090723083489,-0.6547915816917045,-0.8336797054197329,-1.9172093730101678,-0.7531269604882187
Watts-Strogatz small world,exponential,5,1.0107772839858344,0.607331791030124,-0.5469987831743444,0.4623494765137488,0.47085514268939077,-1.447732214807873,1.2432510999228652,1.1578496274505534,-0.5033894071674363,-0.33939240391573666
Watts-Strogatz small world,log-normal,5,-0.9367659349208373,-0.3693578089275059,-1.5074768083659849,0.4586666018470872,-0.12900590954069294,1.4405522523694723,1.024825738289581,-0.5097274641140085,-0.5121929177831455,0.7316582453853865
Watts-Strogatz small world,normal,5,0.46070847421602956,-0.9537155324922799,-0.08829107372072839,-0.4819950312417239,-0.15495067417537442,-0.8126657440594612,-0.13291825570895302,-1.7428595731793675,-1.5433888488375547,-0.24731757572067103
Watts-Strogatz small world,uniform,5,0.5345615088597465,-0.5162853656559099,-0.601381089472647,0.24141515574746925,-0.5438522269087139,-0.9157393780619341,0.4989190473425966,0.7524624717929851,0.04573114332661049,-0.13528931260879284
Watts-Strogatz small world,uniform_plus,5,-0.11933213389838687,-0.38433755188849306,0.7114047485637958,0.6516130233803722,-0.15981940326827104,-1.0119980061519485,0.7361291216564778,1.2392134616657469,1.527132171930229,0.3683772006338155
