Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_coefficient_of_variation,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_first_quartile,feature_group_size,feature_interquartile_range,feature_is_distance_regular,feature_kurtosis_weight,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_mean_weight,feature_median_weight,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_skewness_weight,feature_smallest_eigenvalue,feature_std_dev_weight,feature_third_quartile,feature_variance_weight,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius,Source
49fbbc551cd34d88b4577599a7f4cbed,100000.0,100000.0,1091.0,100000.0,100000.0,27.0,87.0,0.3181898618896128,1.7121212121212122,0,3,0.8270641284091232,0.3636363636363636,3,3,0.0,0,0.0987620600050705,1.0,0.5218467904352253,0,-0.985640294596584,7.164604972254321,1.5839194326734525,5,2.6072344615821708,0.373446593389954,0.2626469854035013,3,4,0.3776727148089357,0,24,10,12,0,2,4.523339271216207,0,0.6013755289647087,8.881784197001252e-16,0.3088642812694186,0.6206088504402958,0.0953971442440745,3,0.0366508661114023,0.3688478566984389,0.8325547114966548,0.4734458760559258,Watts-Strogatz small world
4d8277fa789d4e9aa96187282342e40e,57.0,100000.0,535.0,20.0,221.0,23.0,31.0,1.0545222276959636,1.4696969696969695,0,4,0.6273568237790649,0.5303030303030303,2,4,0.0,0,0.2048598440324345,1.0,0.621441479418092,0,-1.399799455053388,9.96473998018121,2.971513665870194,8,4.835804132120498,0.5127371553385203,0.4877689103441846,4,4,1.3798011204540512,0,35,14,12,0,2,3.3534222287559574,0,0.011106632126594,-1.7763568394002505e-15,0.3216691532066871,0.8263013234505265,0.1034710441247071,4,0.1650997368441528,0.3941017729458769,1.0651966807134916,0.6947758149880559,Uniform Random
7273061b9ae44c588d7a9ee117e759a5,100000.0,100000.0,1537.0,28.0,100000.0,28.0,197.0,0.042250967556974,2.090909090909091,0,3,1.1509222323379251,0.2727272727272727,4,3,0.2310490601866484,0,0.0673337928653293,2.0,0.305169834808244,0,1.68873906322613,5.602910968928831,0.7145277647249854,3,1.7469688726388857,0.2296430462747535,0.1063707085801901,3,5,0.2342711682942569,0,18,4,10,0,3,7.841418130316232,1,1.557752623683439,8.881784197001252e-16,0.2643012874594209,0.3725036276735733,0.0698551705527074,3,0.0384470800399529,0.2398341889834459,0.4738502404241194,0.3468487250318768,3-Regular Graph
d7669e87c0b1479eaab63e0b675424d4,81.0,100000.0,870.0,23.0,182.0,79.0,33.0,0.6033075806244576,1.5909090909090908,1,2,0.7004370056882242,0.4090909090909091,2,3,1.922571505169192,0,0.1647928474053935,2177280.0,0.5849507560678165,0,-1.3892912072867163,12.000000000000002,2.9999999999999987,9,5.421247665762815,0.4715505036510623,0.4983246050779349,3,3,0.5837550771665961,0,27,0,2,0,2,4.000000000000003,0,0.0865578590922279,1.7763568394002505e-15,0.3302914228081241,0.7497436034732101,0.109092423980615,3,0.0,0.392501768321953,1.0985094991217796,0.6001848940438447,Nearly Complete BiPartite
80f19321643c495f9a6c81e772522fa5,154.0,100000.0,1293.0,20.0,306.0,20.0,85.0,0.0212326487951036,2.0454545454545454,0,3,1.802026538359592,0.2727272727272727,3,3,0.5776226504666211,0,0.0204111360318286,2.0,0.0927343723771375,0,8.000757335769139,5.787804413741986,0.8798348261338528,3,1.319302927761862,0.1291306728056475,0.0369230365556007,3,4,0.0394291843178709,0,18,3,7,0,3,6.578285198341836,1,2.9197461692042266,0.0,0.2326968993120061,0.1131455084089661,0.0541478469494219,3,0.0090532414316326,0.1010665380024434,0.2495213690729944,0.1286179401474546,3-Regular Graph
bdd8da76621e4ff5a14b98be804c5b47,70.0,1476.0,1099.0,15.0,100000.0,15.0,46.0,0.3193762578733385,2.0303030303030303,0,3,0.5420076019827681,0.2727272727272727,4,3,0.0,0,0.3802362973202789,1.0,0.2879685118949354,0,-0.6247024070905556,5.708155999884422,0.909281200323966,3,2.483498714238141,0.5115396445995765,0.5289777613539757,3,4,0.8648567262785849,0,18,2,12,0,3,6.277657558355627,1,-0.2233740835478203,0.0,0.2772583760885339,0.6682048092152144,0.0768722071112509,3,0.0420025128687747,0.8948023537112613,1.559379676071626,1.3404498310365265,3-Regular Graph
17026ead49d746a4855db6a73d4cbc43,145.0,100000.0,908.0,27.0,100000.0,128.0,39.0,0.0,1.8333333333333333,1,2,1.1039790459737848,0.1666666666666666,2,1,2.1980706667318395,0,0.027261038799689,39916800.0,0.3761179147028215,0,-0.3816973579828588,11.999999999999991,0.9999999999999998,11,3.450980417292832,0.3137254924811665,0.254646201201644,1,11,0.0,1,11,0,2,1,1,11.999999999999996,0,0.9771343832198904,-1.4483797529927546e-16,0.346346369887014,0.4033789535025106,0.1199558079339123,1,0.0,0.5751634028821385,1.94090739361302,1.0,Nearly Complete BiPartite
e92f3267147b4c3195cd0d9c744fe03e,100000.0,100000.0,651.0,18.0,100000.0,27.0,32.0,1.2446785649712546,1.5,0,4,0.4577478036972245,0.5,2,4,0.0,0,0.3696909389385684,1.0,0.3519345351983422,0,-0.5017012804035952,9.24218131076432,2.874519133053473,7,4.240183617207493,0.5378589723732544,0.5658158856638211,4,3,1.6975047160085537,0,33,20,12,0,2,3.2152095300012027,0,-0.1731461426911891,-1.7763568394002505e-15,0.2462037633027033,0.7216254741369107,0.0606162930644135,4,0.2234048865633372,0.6438422014533796,1.482830833011223,0.8230796890551441,Uniform Random
9b5dc03442b64c029ebd90127ba94b93,100000.0,100000.0,1535.0,20.0,100000.0,29.0,90.0,0.0,1.818181818181818,0,3,1.0674241121791703,0.1818181818181818,2,1,1.7634429630954886,0,0.0229055014227847,725760.0,0.4086779010927003,0,-0.026342622228213,12.0,0.999999999999999,11,3.382791043905762,0.2947473883745221,0.1790010520364864,1,1,0.0,1,12,1,3,1,1,12.000000000000012,0,1.0708623751675796,0.0,0.3146204693528034,0.431583402515485,0.0989860397357783,1,0.0239645961022079,0.4564587475047323,1.4493024679817232,1.0,Nearly Complete BiPartite
59182ad209ad4cf5942f25b55b6d1e99,100000.0,100000.0,2405.0,100000.0,100000.0,38.0,243.0,0.0717848993750865,1.7121212121212122,0,3,1.2933939417241769,0.3636363636363636,3,4,0.0,1,0.0373352274420756,1.0,0.1559057018197494,0,4.874142902179592,6.78288224398676,1.5395035169264628,4,1.4099191011878447,0.1791529681561831,0.1143267299916362,4,3,0.3307843735197439,0,24,9,12,0,2,4.405889411365831,1,2.279107491255826,-4.440892098500626e-16,0.2317153636551116,0.1932409292618251,0.0536920097538206,4,0.0340490532635716,0.1128037179202843,0.2769237110405902,0.1550335079855909,4-Regular Graph
02bb39437eee442f9d2cb46a07e026e7,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27.0,4.762720093330795,1.0454545454545454,0,10,0.1547834946162393,0.9545454545454546,2,9,1.6173434213065392,0,0.5864501933291655,80640.0,0.0020314447872664,0,31.719819753251457,12.000000000000009,8.58578643762691,11,6.88914713742142,0.584466074544524,0.5878018364007908,9,1,5.259122851077608,0,63,52,3,0,1,1.3976588035558892,0,-2.7421299053001964,0.0,0.0904657015026368,0.588481638116432,0.0081840431483641,9,0.5438011187293499,0.5865927800266288,1.1632909777849427,0.5884986453389844,Geometric
634fc11ad5cf452eabc4fa4b45db8b4f,100000.0,100000.0,885.0,48.0,100000.0,13.0,100000.0,0.1100780193937767,1.803030303030303,0,3,1.294107403325512,0.3636363636363636,3,4,0.0,1,0.041948083992878,1.0,0.1897112323226436,0,4.493358031422748,6.8260762081591135,1.1416681551383472,4,1.5174082774433204,0.1768991275175858,0.0822834158691016,4,4,0.2439900568212996,0,24,8,12,0,3,5.979037058567978,1,2.145429590725814,2.220446049250313e-16,0.2289264705623316,0.2316593163155216,0.0524073289241261,4,0.0256895995460879,0.1185913599772375,0.2743735528759806,0.1541713910994883,4-Regular Graph
