Instances,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa,feature_algebraic_connectivity,feature_average_distance,feature_bipartite,feature_clique_number,feature_density,feature_diameter,feature_edge_connectivity,feature_entropy,feature_eulerian,feature_group_size,feature_is_distance_regular,feature_laplacian_largest_eigenvalue,feature_laplacian_second_largest_eigenvalue,feature_maximum_degree,feature_maximum_weighted_degree,feature_minimum_degree,feature_minimum_dominating_set,feature_minimum_weighted_degree,feature_number_of_cut_vertices,feature_number_of_edges,feature_number_of_minimal_odd_cycles,feature_number_of_orbits,feature_planar,feature_radius,feature_ratio_of_two_largest_laplacian_eigenvaleus,feature_regular,feature_smallest_eigenvalue,feature_vertex_connectivity,feature_weighted_average_clustering,feature_weighted_average_shortest_path_length,feature_weighted_diameter,feature_weighted_radius
af8406ac79ac4a858d94b51c71a0ec1a,100000.0,2434.0,808.0,16.0,176.0,16.0,68.0,0.4386525098148839,1.9848484848484849,0,3,0.2727272727272727,3,3,0.5776226504666211,0,2.0,0,5.362339832857443,0.8773050196297667,3,1.5,3,4,1.5,0,18,6,7,0,3,6.112286733661247,1,-8.881784197001252e-16,3,0.0833333333333333,0.9924242424242424,1.5,1.5
234285d37d3349a298698af10bd2c816,297.0,1397.0,485.0,12.0,105.0,16.0,32.0,0.6994942569277678,1.7878787878787878,0,3,0.3636363636363636,3,4,0.0,1,1.0,0,7.044952239181032,1.3989885138555382,4,2.0,4,3,2.0,0,24,7,12,0,2,5.035747019656021,1,0.0,4,0.2916666666666666,0.8939393939393939,1.5,1.0
da7ed194c0ce49958f9091e962aa21aa,109.0,1973.0,661.0,20.0,100000.0,17.0,26.0,1.5762038483738257,1.4696969696969695,0,4,0.5303030303030303,2,4,0.0,0,1.0,0,10.154074039999209,3.152407696747653,9,4.5,4,3,2.0,0,35,20,12,0,2,3.2210535618458205,0,0.0,4,0.4801587301587302,0.7348484848484849,1.0,1.0
2c34c07b6d6941f8847b6fc37b8d396c,67.0,100000.0,1591.0,100000.0,100000.0,27.0,32.0,4.5,1.0303030303030305,0,11,0.9696969696969696,2,9,1.7634429630954886,0,725760.0,0,12.000000000000012,8.99999999999999,11,5.5,9,1,4.5,0,64,53,3,0,1,1.3333333333333364,0,2.220446049250313e-16,9,0.9727272727272728,0.5151515151515151,1.0,0.5
d9bc0480bfbd4477a580dc020389e2a1,152.0,100000.0,775.0,16.0,100000.0,16.0,50.0,0.2264449208986422,2.212121212121212,0,3,0.2727272727272727,4,2,0.5776226504666211,0,8.0,0,5.6418115224218655,0.4528898417972843,3,1.5,3,4,1.5,0,18,4,7,0,3,12.457359387952817,1,-4.440892098500626e-16,2,0.1666666666666666,1.106060606060606,2.0,1.5
5bdf60410c2a4924b542ec56196a4667,37.0,178.0,206.0,12.0,65.0,23.0,29.0,1.0,1.681818181818182,0,3,0.3181818181818182,2,2,2.0343454409216952,0,7257600.0,0,12.000000000000002,1.9999999999999971,11,5.5,2,1,1.0,0,21,10,2,1,1,6.000000000000009,0,-8.326067174548254e-16,2,0.8636363636363636,0.8409090909090909,1.0,0.5
76dbfd2ee72f4537b555f7fc5ff408bb,67.0,100000.0,1007.0,27.0,196.0,13.0,32.0,0.1852731671013834,2.136363636363636,0,5,0.3484848484848485,4,2,0.4620981203732968,0,24.0,0,7.384485101550093,0.3705463342027642,6,3.0,2,3,1.0,1,23,11,9,0,2,19.928641629765195,0,-8.061955036337004e-16,1,0.7250000000000001,1.068181818181818,2.0,1.0
13c4005f208d4fcf861e5c1fd85a7cf7,165.0,100000.0,100000.0,100000.0,100000.0,20.0,48.0,2.3138593383654933,1.2121212121212122,0,8,0.7878787878787878,2,7,0.9678002527269728,0,576.0,0,12.000000000000009,4.627718676730986,11,5.5,7,1,3.5,0,52,41,5,0,1,2.593070330817256,0,0.0,5,0.8893578643578645,0.6060606060606061,1.0,0.5
bb6b1f09fc8f42ad98e81365b2ab6978,16.0,134.0,120.0,15.0,100000.0,26.0,26.0,3.0,1.4393939393939394,0,3,0.5606060606060606,2,6,1.4735023850806486,0,34560.0,0,12.000000000000004,5.999999999999995,7,3.5,6,6,3.0,0,37,1,3,0,2,2.000000000000002,0,0.0,6,0.0809523809523809,0.7196969696969697,1.0,1.0
cdb3899c90c3422b8a63daf26a3d6627,100000.0,100000.0,886.0,28.0,100000.0,129.0,54.0,0.0520215318127957,3.257575757575758,1,2,0.1666666666666666,7,1,0.4620981203732968,0,24.0,0,6.14786025239003,0.1040430636255909,5,2.5,1,5,0.5,6,11,0,9,1,4,59.089573472323934,0,6.454685365389528e-16,1,0.0,1.628787878787879,3.5,2.0
