run_id,num_nodes,graph_type,weight_type,approximation_ratio_fixed_angles_constant,approximation_ratio_random,approximation_ratio_three_regular,approximation_ratio_qibpi,approximation_ratio_tqa,approximation_ratio_interp_p15,approximation_ratio_fourier_p15,algo_fixed_angles_constant,algo_fourier,algo_interp,algo_qibpi,algo_random,algo_three_regular,algo_tqa
860e7a094e664f5d80fd7c6bb0e23540,10,Watts-Strogatz small world,normal,0.9801898097436336,0.9834111553915904,0.9869112279428144,0.987397639729352,0.9885567777590673,0.9008937125061124,0.7481585185625972,112.0,100000.0,840.0,14.0,84.0,16.0,27.0
b5182dca33e047b48cc0e4d723452418,10,Watts-Strogatz small world,uniform_plus,0.9684872629288438,0.9674696866117782,0.9748972882109344,0.9746337479512496,0.975930396982952,0.9692287042815024,0.7377399718053583,106.0,100000.0,503.0,11.0,156.0,11.0,28.0
cf34b86d63df45ccae48a057a31eb13e,10,Watts-Strogatz small world,uniform,0.9675349625567295,0.9558109580101968,0.9692140048184568,0.9546464788725088,0.9643715874855244,0.963627388967926,0.96007735061559,97.0,1184.0,973.0,100000.0,100000.0,27.0,76.0
a49d1ecd0b834dec873eea19f49e64d4,10,Watts-Strogatz small world,exponential,0.977035254353256,0.9646199459848824,0.9694224575632956,0.9823733517733644,0.9775043697585752,0.9714366475823684,0.8341289367175525,146.0,100000.0,1309.0,13.0,100000.0,100000.0,119.0
c6b3b2405871485287d6544bbb3e2664,10,Watts-Strogatz small world,cauchy,0.9777840158384064,0.9689000682512284,0.9859342681805496,0.9791495355007004,0.9826520862157996,0.9746192906774366,0.7243911010071531,131.0,100000.0,1052.0,89.0,100000.0,30.0,84.0
2701604721fe4187a4d1ebe598c4fce7,10,Watts-Strogatz small world,log-normal,0.9730882312638494,0.9745784799384662,0.9865280534114904,0.977710857341878,0.9847130384370564,0.9816934757315186,0.7860172440782831,100000.0,100000.0,1280.0,172.0,100000.0,13.0,75.0
86a3268db8414ecbb07714d0d313a0dc,10,Watts-Strogatz small world,normal,0.9652365411675492,0.96094444944852,0.9903986236670548,0.9929158903101656,0.9945184199305432,0.996213797775734,0.7010949202798733,100000.0,100000.0,435.0,24.0,100000.0,24.0,50.0
96c5a2078b264e11a60833be1cb5c991,10,Watts-Strogatz small world,uniform_plus,0.9895147635647186,0.9899257349722254,0.9985647510445532,0.9962443931219568,0.9988817116413236,0.9935925977341382,0.6505214729152071,214.0,100000.0,553.0,15.0,369.0,19.0,25.0
ce333cbc28dd4b6f9ef9b601e19e9283,10,Watts-Strogatz small world,uniform,0.9903311579323916,0.9739067243870896,0.9948204131370976,0.9851381151708376,0.992705597497306,0.9765169599930924,0.6374336713812996,244.0,100000.0,1362.0,338.0,100000.0,22.0,61.0
d8caf6fb32a049aa935e88d11411a711,10,Watts-Strogatz small world,cauchy,0.9875532708184408,0.9803980344506597,0.9799192913266516,0.9876310034508774,0.9702751270401218,0.9827441812746648,0.9570257880624532,218.0,100000.0,2285.0,239.0,444.0,154.0,100000.0
3d36ce4922b345ef9f11b9e2c011c452,10,Watts-Strogatz small world,log-normal,0.9816130412460128,0.9817132352896252,0.9880967365028678,0.9828317345724789,0.9811533865549872,0.9870444358342456,0.9700818431522884,271.0,100000.0,1453.0,333.0,260.0,30.0,111.0
2466c18aa88f4a85bb4b2ac322f90fe3,10,Watts-Strogatz small world,exponential,0.9820425579889112,0.9647663711146468,0.9854302047432848,0.9920947848158524,0.9941754662511952,0.9801705624983242,0.9678223475716292,100000.0,100000.0,861.0,18.0,100000.0,218.0,43.0
f186c6d6ff084e868418ee1bb4eaea41,10,Watts-Strogatz small world,normal,0.9844565439569196,0.982198390430885,0.9914434225667929,0.9907883269269272,0.9895881880394606,0.991115035271582,0.7213110052413572,64.0,100000.0,521.0,22.0,268.0,19.0,40.0
69f76e38aa424326b73b9985313593e6,10,Watts-Strogatz small world,uniform_plus,0.9899712238463872,0.9913204951002308,0.9946051184815328,0.9930682856189088,0.9950277541784068,0.989744072381166,0.7084182131156326,49.0,100000.0,414.0,14.0,49.0,25.0,28.0
61a4b7abb19a405c8bb38915465f7acd,10,Watts-Strogatz small world,uniform,0.9888024435306548,0.9807127774875064,0.991723760519586,0.9861481666407228,0.9903132894768976,0.9868034320088108,0.7446286239682015,57.0,100000.0,580.0,97.0,100000.0,15.0,38.0
1be3effab24d4fbb94ce433d8bd112d0,10,Watts-Strogatz small world,log-normal,0.9871622304655212,0.9865100872482552,0.9910796410575944,0.985866323653974,0.9893542401528964,0.9878608647685312,0.7523962618896903,180.0,100000.0,1004.0,229.0,221.0,17.0,90.0
9529d9d95cd946548a52ba5c9edbdee4,10,Watts-Strogatz small world,normal,0.9944718502878964,0.9891961801233832,0.9958169976805716,0.9950696196022404,0.9929690748490472,0.9938366359831124,0.7362832075437306,53.0,100000.0,305.0,16.0,85.0,18.0,33.0
