graph_type,weight_type,layer,median_beta_0,median_beta_1,median_beta_2,median_beta_3,median_beta_4,median_beta_5,median_beta_6,median_beta_7,median_beta_8,median_beta_9,median_beta_10,median_beta_11,median_beta_12,median_beta_13,median_beta_14,median_gamma_0,median_gamma_1,median_gamma_2,median_gamma_3,median_gamma_4,median_gamma_5,median_gamma_6,median_gamma_7,median_gamma_8,median_gamma_9,median_gamma_10,median_gamma_11,median_gamma_12,median_gamma_13,median_gamma_14
4-Regular Graph,uniform,15,0.6024523411297062,0.4879113194436758,0.42308852686497356,0.38966478480114336,0.3641267359321972,0.3520315671198561,0.34221717700076615,0.3251578155653265,0.30175192672009266,0.26508370025876493,0.22380954828889277,0.17844611005431388,0.13376722047482129,0.08210163888287796,0.03363966024543635,0.4634655798523818,1.025330058366536,1.222626911188533,1.3865776933488834,1.4918318252233393,1.6026037714786867,1.6842973189982362,1.7769210772953534,1.8850163870158523,2.016069362009267,2.1400338928393516,2.248860494003543,2.3963872124051266,2.588609030976576,2.717842106345302
4-Regular Graph,uniform_plus,15,-0.5837295710890285,-0.4545501487187679,-0.3615363813286598,-0.32379417049489473,-0.3184824085979143,-0.305599805210326,-0.27434998664980703,-0.2540110290349671,-0.22952653042636578,-0.18499454829032397,-0.2645021859687976,-1.4485842178608626,-0.10546152930169377,-0.0858856729860496,-0.056921392282978024,-0.8522522454078021,-1.8877752023042955,-2.2443838501156717,-2.4140340700565326,-2.6129641911030865,-2.9617730060150955,-3.3687297363677193,-3.5354423912559896,-3.652329126916561,-3.809012080421929,-3.7359944944944385,0.3329133216355613,-4.651579124538493,-4.2183300417442435,-3.822495144402836
Nearly Complete BiPartite,None,15,-2.371523860816338,1.5576087428204244,1.317704170141501,-2.33175340306316,-1.5848228068352455,-3.394319243425877,2.8687471617285643,-0.34178510458326644,-1.8455403105107497,-1.0285843740604441,-1.5531839392513958,-1.0108435268674743,1.572510169002127,2.8319418838497814,0.727612715267631,-2.0153682401519952,-2.57349934404602,0.5114279785582692,-2.5374353776258762,-0.47874616893406874,0.31004426251877354,1.5357840248987387,-1.379743545079456,0.31508372679054025,-0.7630843830295332,-1.1710675527502623,-2.1713614544627506,-1.0509880565568412,-1.6990534737203953,-0.3400777077250537
Nearly Complete BiPartite,exponential,15,-0.27926245596565147,1.8620905156645675,0.40151765611727197,0.5709380511046798,0.4685994943864346,0.46636020457299465,0.44293784413330933,0.4107380760262522,0.367172397622348,0.31638852035170195,0.2575697913823124,0.1843917392140963,0.08102254401866946,0.03161350340843344,0.03360260728468069,1.823080536293396,0.008613900127697343,-1.8866929362931721,0.38173679635054114,0.7749740740696845,1.2531541956281498,1.5947179124098305,1.7257112242744128,1.8049933124250768,1.8910158939430188,2.100827865906758,2.368929372315584,2.48535939459677,0.8953368836543152,2.3592460899896155
Nearly Complete BiPartite,normal,15,0.5563592004675675,1.1403982094203111,0.1678940741517224,0.775184246837734,0.3178596133349952,0.369774534975169,0.3839239845192831,0.357741269618729,0.31567337375894894,0.2549027001365502,0.1940881827101979,0.4915143047145301,0.0460167156575749,-0.40409776771525385,0.048619454231683984,0.3988210782700269,0.8832436879866209,-0.3187021355945701,0.1677058696826615,1.007078255001451,1.0871232448117938,1.3507708753007353,1.4970870933170726,1.6209897153659094,1.8355027118294376,2.0975372170972033,2.3312350163946833,-0.6861882671778405,0.5614390617184518,3.1741027165381483
Nearly Complete BiPartite,uniform,15,0.608129128209129,0.48727632716207986,0.4317828484754362,0.39384771341631647,0.35564863159733373,0.5244422577051767,0.025940648637146558,-0.21420873394554413,0.2706145504845161,-1.2746203521102417,-0.06259349434677326,0.1859408531106818,0.1235754555834374,-1.548618617582479,0.06492814130899838,0.49483615174956147,1.1153921699310423,1.3809430427391778,1.5250696983550336,1.555709785640075,1.5106017679128223,-1.1659959016518053,0.8760521240433683,2.0203569544320343,1.6891313141052327,-0.48699607441095644,2.676215776381028,2.361096975367244,5.21624006120924,-2.7070608215609497
Nearly Complete BiPartite,uniform_plus,15,0.5608981954379192,-0.36810913159677633,1.8361719936515448,0.5407917478122269,0.32793029066476037,0.2891671933167082,0.306344557764519,0.32185339465363033,-0.3266937057996699,0.6498349393409588,0.28936607582286006,0.2504608235538608,0.1982286478691536,0.1300530735988403,0.05676854271023427,0.6746490951330305,2.3697130142476635,0.15229744585147,-0.9982237496305763,1.376039866359938,1.5785263854107738,1.6335065542829195,2.078150893016376,2.478122176432903,-0.05727569650425371,2.5622823070118703,2.670161613951123,2.885171937569366,3.228763565784544,3.42218659001906
Power Law Tree,None,15,0.6038138296811703,1.4693904083959173,0.0437815285581249,-0.20907206710754142,0.8030196907942597,0.3454990273973368,0.3056794386463651,0.3809089759269959,0.41549522528393074,0.4219262224718212,0.40635180117359265,0.3454149194996249,0.2491894565857131,0.15641227768881888,0.06252990356018935,1.0393441749857022,4.425543275082578,1.032186120228793,-2.4322178394137173,-0.49683313815152497,2.8176743721463,2.5183108778749963,2.954911045473196,3.8604753151892597,4.237088954379553,4.4569602152396115,4.653983487293002,5.152488697309217,5.42024057245494,5.337162411688463
Power Law Tree,cauchy,15,0.6223547599217562,0.5066385586757702,0.4589384277320577,0.4351822601870754,0.41073431381229114,0.3874381596037067,0.3612578900329642,0.3185493049872582,0.26742519976244467,-1.3514771843274112,0.519093127529343,1.1334813393468492,1.5153136033408658,0.09794951370337107,0.045274732799512434,0.6744660231925992,1.5979278510876374,2.0813897277821103,2.4694964369719763,2.7386100151595327,2.937741165019044,3.0705269640457122,3.1780988425039935,3.235994178368216,3.3882979318468327,2.354153593388054,0.13854782850981942,-2.096353384880628,4.57221676469472,4.08954994744231
Power Law Tree,log-normal,15,0.42050350442093404,0.8262730128619092,1.0675540376816561,-0.856241394623164,1.061452414797455,0.01023561614632345,0.12766962742367965,-0.043550200559042296,0.2973136110207851,-0.036497927426581804,0.1746469779973056,0.07415716962314119,0.006441347286901209,0.042530695206582876,0.13799162019318822,3.101313902162741,18.496681613891344,6.528260447039546,-0.8206499697777568,-7.271222480722569,13.980362580883567,5.1930506039362,8.55020042480923,11.149025841919629,11.090941677194259,7.9087833217187224,20.513010401448195,21.102914344250173,16.074778561594417,5.47459174821766
Power Law Tree,normal,15,0.4267156735532026,0.2282779138871289,0.03196439857775923,-0.009218647495456998,0.19091179061352556,-0.040174493508767756,-0.0924572710666823,-0.20011906640602828,0.2621730521155857,-0.1461491408356233,0.1770362869691582,1.8222772313926834,-0.07082394141873233,0.20328361643653456,0.23365596925899867,2.7397288811278653,3.7166008634253105,2.7003743979752124,3.1676332036031383,3.589961048286728,1.7849905298489337,3.1089552429373892,4.553423122779506,0.6537625563605084,6.857743688144395,2.4485194912030575,11.7841878372713,-3.299564855898411,8.755928735938049,4.563271545396553
